id_bien;surface_carrez;type_local;surface_reelle;nombre_pieces;surface_terrain;voie;commune_id
15096;26.63;Appartement;27;1;;DU VINGTAIN;1955
15097;110.09;Maison;110;6;40;DE LA CLAIRIERE;1962
15098;76.89;Appartement;76;3;;DE LA PAIX;1952
15099;83.71;Appartement;83;4;;DU GAREL;1957
15100;56.24;Appartement;56;2;;CHARLES DE GAULLE;1962
15101;111.55;Maison;106;4;;JEAN ROUSSELIN;1957
15102;64.31;Appartement;64;3;;DE LA CROIX PIVORT;1955
15103;53.53;Appartement;53;3;;BAUDRAND;1962
15104;57.17;Appartement;55;3;;EUGENE GENET;1958
15105;62.38;Appartement;68;2;;GAMBETTA;1961
15106;54.94;Appartement;57;2;;JEAN JAURES;1961
15107;69.7;Appartement;67;3;;HENRI BARBUSSE;1961
15108;80.98;Appartement;81;4;;CHARLES DE GAULLE;1967
15109;59.1;Appartement;60;3;;JOSEPH LONGARINI;1961
15110;79.41;Appartement;76;5;;ALBERT CAMUS;1953
15111;56.34;Appartement;55;3;;DE L EUROPE;1966
15112;68.01;Appartement;72;4;;DES PROVINCES;1955
15113;105.92;Maison;107;5;395;DES CAZARDES;1960
15114;78.9;Appartement;78;2;;DES FAIENCIERS;1960
15115;80;Appartement;80;4;;DE LA GRAVIERE;1955
15116;23.36;Appartement;44;2;;PIERRE SEMARD;1953
15117;42.79;Appartement;42;2;;CLAUDE MICHEL;1953
15118;81.84;Appartement;92;3;;GRANDE RUE;1953
15119;40.13;Appartement;39;2;;JEAN LIGONNET;1961
15120;17.38;Appartement;18;2;;COCHARD;1968
15121;55.14;Appartement;53;2;;DES JARDINS;1969
15122;81.18;Appartement;81;4;;DU CHATEAU;1966
15123;159.65;Appartement;170;5;;GRANDE RUE;1955
15124;41.82;Appartement;40;2;;DE LAVAL;1952
15125;46.11;Appartement;45;2;;EMILE ZOLA;1953
15126;51.57;Appartement;52;2;;DES FAIENCIERS;1960
15127;67.49;Appartement;67;3;;GUILLOUX;1952
15128;43.56;Appartement;60;1;;JEAN JAURES;1953
15129;54.4;Appartement;53;2;;CLEMENCEAU;1952
15130;89.83;Appartement;106;5;;JOSEPH LONGARINI;1961
15131;104.63;Maison;88;5;;JEAN ANTOINE FOISON;1970
15132;57.27;Appartement;54;3;;MARCEAU;1953
15133;106.12;Appartement;104;4;;JOSEPH RICARD;1955
15134;33.73;Appartement;34;2;;DE LA COMMUNE DE PARIS;1953
15135;92.76;Maison;92;5;271;DE LA TUILERIE;1957
15136;63.66;Appartement;63;4;;STALINGRAD;1966
15137;62.3;Appartement;62;3;67;DES RONZIERES;1957
15138;65.48;Appartement;66;3;;DES BASSES BAROLLES;1952
15139;99.2;Maison;98;5;40;DE LA CLAIRIERE;1962
15140;142.43;Appartement;159;4;;DE BRASSERONDE;1971
15141;78.95;Appartement;73;4;;DES FAIENCIERS;1960
15142;70.25;Appartement;70;3;;WALDWISSE;1972
15143;76.4;Maison;76;4;221;GUILLAUME APOLLINAIRE;1966
15144;108.84;Appartement;106;3;;DE L EGALITE;1961
15145;78.94;Appartement;95;4;;JULES FERRY;1958
15146;77;Appartement;77;4;;CARMAGNAC;1962
15147;84.46;Appartement;83;3;;GEORGES CLEMENCEAU;1955
15148;28.07;Appartement;40;2;;DE L EGLISE;1957
15149;50.23;Appartement;55;2;;GENERAL DE GAULLE;1957
15150;87.95;Appartement;88;5;;DE L EUROPE;1953
15151;66.09;Appartement;66;4;;FRANCISQUE JOMARD;1953
15152;122.89;Appartement;124;5;;DE GADAGNE;1952
15153;64.27;Appartement;64;2;;DES FONDS;1955
15154;40.33;Appartement;40;2;;AMABLE AUDIN;1973
15155;31.46;Appartement;31;1;;NARCISSE BERTHOLEY;1953
15156;43.17;Appartement;42;2;;DEPARTEMENTALE 386;1960
15157;82.42;Appartement;81;4;;DE L INDUSTRIE;1958
15158;103.96;Maison;91;3;43;DU PROGRES;1974
15159;68.55;Appartement;68;3;;DES FAIENCIERS;1960
15160;53.23;Appartement;53;3;;ROUTE D'IRIGNY;1952
15161;40.68;Appartement;41;2;;EMILE ZOLA;1953
15162;72.2;Appartement;53;2;;MERE ELISE RIVET;1957
15163;44.59;Appartement;49;1;;DU MOULIN;1961
